	ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
ODC_0	0	0	0	0	0	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8
ODC_1	0	0	0	0	0	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8
ODC_2	0	0	0	0	0	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8
ODC_5	0	0	0	0	0	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8
ODC_6	0	0	0	0	0	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8
IBD-AP_0	8	8	8	8	8	0	1	1	1	9	4	4	4	4	4	5	6	6	7	7	7	7	7
PSO-AP_0	8	8	8	8	8	1	0	1	1	9	4	4	4	4	4	5	6	6	7	7	7	7	7
RA_AP_0	8	8	8	8	8	1	1	0	0	9	4	4	4	4	4	5	6	6	7	7	7	7	7
RA_AP_2	8	8	8	8	8	1	1	0	0	9	4	4	4	4	4	5	6	6	7	7	7	7	7
CTR_0	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9
MP-ST_0	8	8	8	8	8	4	4	4	4	9	0	0	0	0	0	3	5	5	6	6	6	6	6
MP-ST_2	8	8	8	8	8	4	4	4	4	9	0	0	0	0	0	3	5	5	6	6	6	6	6
MP-ST_3	8	8	8	8	8	4	4	4	4	9	0	0	0	0	0	3	5	5	6	6	6	6	6
MP-ST_5	8	8	8	8	8	4	4	4	4	9	0	0	0	0	0	3	5	5	6	6	6	6	6
MP-ST_6	8	8	8	8	8	4	4	4	4	9	0	0	0	0	0	3	5	5	6	6	6	6	6
MP-TA_0	8	8	8	8	8	5	5	5	5	9	3	3	3	3	3	0	4	4	5	5	5	5	5
BRE-ST_0	8	8	8	8	8	6	6	6	6	9	5	5	5	5	5	4	0	0	3	3	4	4	4
BRE-ST_1	8	8	8	8	8	6	6	6	6	9	5	5	5	5	5	4	0	0	3	3	4	4	4
COL_0	8	8	8	8	8	7	7	7	7	9	6	6	6	6	6	5	3	3	0	0	2	2	2
COL_2	8	8	8	8	8	7	7	7	7	9	6	6	6	6	6	5	3	3	0	0	2	2	2
MM-ST_0	8	8	8	8	8	7	7	7	7	9	6	6	6	6	6	5	4	4	2	2	0	1	1
UM-ST_0	8	8	8	8	8	7	7	7	7	9	6	6	6	6	6	5	4	4	2	2	1	0	0
UM-ST_1	8	8	8	8	8	7	7	7	7	9	6	6	6	6	6	5	4	4	2	2	1	0	0
